DP;DPNOM;DPMP;MPIO;year;total
19;Cauca;19142;Caloto(1)(3);2015;17642 
19;Cauca;19212;Corinto;2015;31872 
19;Cauca;19256;El Tambo;2015;47525 
19;Cauca;19290;Florencia;2015;6132 
19;Cauca;19300;Guachené (1) ;2015;19815 
19;Cauca;19318;Guapi;2015;29722 
19;Cauca;19355;Inzá;2015;30803 
19;Cauca;19364;Jambaló;2015;17590 
19;Cauca;19392;La Sierra;2015;10643 
19;Cauca;19397;La Vega;2015;45563 
19;Cauca;19418;López;2015;20316 
19;Cauca;19450;Mercaderes;2015;18061 
19;Cauca;19455;Miranda;2015;39718 
19;Cauca;19473;Morales;2015;25963 
19;Cauca;19513;Padilla;2015;7882 
19;Cauca;19517;Paez;2015;35059 
19;Cauca;19532;Patía;2015;36205 
19;Cauca;19533;Piamonte;2015;7347 
19;Cauca;19548;Piendamó;2015;42886 
19;Cauca;19573;Puerto Tejada;2015;45678 
19;Cauca;19585;Puracé;2015;15261 
19;Cauca;19622;Rosas;2015;13302 
19;Cauca;19693;San Sebastián;2015;13924 
19;Cauca;19698;Santander de Quilichao;2015;93545 
19;Cauca;19701;Santa Rosa;2015;10480 
19;Cauca;19743;Silvia;2015;32159 
19;Cauca;19760;Sotara;2015;16968 
19;Cauca;19780;Suárez;2015;18656 
19;Cauca;19785;Sucre;2015;8886 
19;Cauca;19807;Timbío;2015;33883 
19;Cauca;19809;Timbiquí;2015;21617 
19;Cauca;19821;Toribio;2015;29187 
19;Cauca;19824;Totoró;2015;20123 
19;Cauca;19845;Villa Rica;2015;16189 
20;Cesar;20001;Valledupar;2015;453215 
20;Cesar;20011;Aguachica;2015;92957 
20;Cesar;20013;Agustín Codazzi;2015;50829 
20;Cesar;20032;Astrea;2015;19195 
20;Cesar;20045;Becerril;2015;13453 
20;Cesar;20060;Bosconia;2015;37248 
20;Cesar;20175;Chimichagua;2015;30658 
20;Cesar;20178;Chiriguaná;2015;19650 
20;Cesar;20228;Curumaní;2015;24367 
20;Cesar;20238;El Copey;2015;26473 
20;Cesar;20250;El Paso;2015;22832 
20;Cesar;20295;Gamarra;2015;16644 
20;Cesar;20310;González;2015;6990 
20;Cesar;20383;La Gloria;2015;12938 
20;Cesar;20400;La Jagua de Ibirico;2015;22282 
20;Cesar;20443;Manaure;2015;14514 
20;Cesar;20517;Pailitas;2015;17166 
20;Cesar;20550;Pelaya;2015;17910 
20;Cesar;20570;Pueblo Bello;2015;22275 
20;Cesar;20614;Río de Oro;2015;14041 
20;Cesar;20621;La Paz;2015;22815 
20;Cesar;20710;San Alberto;2015;24652 
20;Cesar;20750;San Diego;2015;13376 
20;Cesar;20770;San Martín;2015;18548 
20;Cesar;20787;Tamalameque;2015;13862 
23;Córdoba;23001;Montería;2015;441301 
23;Córdoba;23068;Ayapel;2015;51164 
23;Córdoba;23079;Buenavista;2015;21628 
23;Córdoba;23090;Canalete;2015;21548 
23;Córdoba;23162;Cereté;2015;91525 
23;Córdoba;23168;Chimá;2015;15018 
23;Córdoba;23182;Chinú;2015;48304 
23;Córdoba;23189;Ciénaga de Oro;2015;64226 
23;Córdoba;23300;Cotorra;2015;15447 
23;Córdoba;23350;La Apartada;2015;15204 
23;Córdoba;23417;Lorica;2015;118237 
23;Córdoba;23419;Los Córdobas;2015;23760 
23;Córdoba;23464;Momil;2015;14864 
23;Córdoba;23466;Montelíbano(1)(3);2015;81341 
23;Córdoba;23500;Moñitos;2015;27433 
23;Córdoba;23555;Planeta Rica;2015;67188 
23;Córdoba;23570;Pueblo Nuevo;2015;38559 
23;Córdoba;23574;Puerto Escondido;2015;29141 
23;Córdoba;23580;Puerto Libertador;2015;47643 
23;Córdoba;23586;Purísima;2015;15073 
23;Córdoba;23660;Sahagún;2015;89867 
23;Córdoba;23670;San Andrés Sotavento (1) (3);2015;42747 
23;Córdoba;23672;San Antero;2015;31365 
23;Córdoba;23675;San Bernardo del Viento;2015;34782 
23;Córdoba;23678;San Carlos;2015;27104 
23;Córdoba;23682;San José de Uré(1);2015;10993 
23;Córdoba;23686;San Pelayo;2015;43584 
23;Córdoba;23807;Tierralta;2015;99911 
23;Córdoba;23815;Tuchín (1);2015;37716 
23;Córdoba;23855;Valencia;2015;42971 
25;Cundinamarca;25001;Agua de Dios;2015;10995 
25;Cundinamarca;25019;Albán;2015;5956 
25;Cundinamarca;25035;Anapoima;2015;13312 
25;Cundinamarca;25040;Anolaima;2015;12311 
25;Cundinamarca;25053;Arbeláez;2015;12292 
25;Cundinamarca;25086;Beltrán;2015;2197 
25;Cundinamarca;25095;Bituima;2015;2520 
25;Cundinamarca;25099;Bojacá;2015;11555 
25;Cundinamarca;25120;Cabrera;2015;4499 
25;Cundinamarca;25123;Cachipay;2015;9833 
25;Cundinamarca;25126;Cajicá;2015;56875 
25;Cundinamarca;25148;Caparrapí;2015;16691 
25;Cundinamarca;25151;Caqueza;2015;17048 
25;Cundinamarca;25154;Carmen de Carupa;2015;9109 
25;Cundinamarca;25168;Chaguaní;2015;3981 
